,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
0,2022/08/01,TXO,202208W1,13300.0000,買權,-,-,-,-,0,1640,0,-,-,-,-,,一般,-,-
1,2022/08/01,TXO,202208W1,13300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2,2022/08/01,TXO,202208W1,13300.0000,賣權,0.3,0.3,0.3,0.3,63,0.3,1421,0.2,0.9,2.4,0.3,,一般,-0.1,-25%
3,2022/08/01,TXO,202208W1,13300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
4,2022/08/01,TXO,202208W1,13400.0000,買權,-,-,-,-,0,1540,0,-,-,-,-,,一般,-,-
5,2022/08/01,TXO,202208W1,13400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
6,2022/08/01,TXO,202208W1,13400.0000,賣權,0.3,0.3,0.3,0.3,80,0.3,203,0.2,0.7,2.7,0.3,,一般,-0.1,-25%
7,2022/08/01,TXO,202208W1,13400.0000,賣權,0.7,0.7,0.6,0.7,12,-,-,0.5,0.8,2.7,0.4,,盤後,0.3,75%
8,2022/08/01,TXO,202208W1,13500.0000,買權,-,-,-,-,0,1440,0,-,-,-,-,,一般,-,-
9,2022/08/01,TXO,202208W1,13500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
10,2022/08/01,TXO,202208W1,13500.0000,賣權,0.4,0.8,0.4,0.4,1029,0.3,1192,0.2,0.7,3.5,0.4,,一般,0,0.00%
11,2022/08/01,TXO,202208W1,13500.0000,賣權,1.1,1.6,1.1,1.6,11,-,-,0.4,0.9,3.5,0.4,,盤後,1.2,300%
12,2022/08/01,TXO,202208W1,13600.0000,買權,-,-,-,-,0,1340,0,-,-,-,-,,一般,-,-
13,2022/08/01,TXO,202208W1,13600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
14,2022/08/01,TXO,202208W1,13600.0000,賣權,0.8,0.8,0.3,0.3,107,0.3,1141,0.2,0.7,4.3,0.3,,一般,-0.3,-50%
15,2022/08/01,TXO,202208W1,13600.0000,賣權,1.5,1.7,0.8,0.8,20,-,-,0.7,0.8,4.3,0.6,,盤後,0.2,33.33%
16,2022/08/01,TXO,202208W1,13700.0000,買權,-,-,-,-,0,1240,0,-,-,-,-,,一般,-,-
17,2022/08/01,TXO,202208W1,13700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
18,2022/08/01,TXO,202208W1,13700.0000,賣權,0.7,1,0.4,0.4,171,0.4,1544,0.3,0.7,5.8,0.4,,一般,-0.4,-50%
19,2022/08/01,TXO,202208W1,13700.0000,賣權,1,1.5,0.9,1,93,-,-,0.7,1.1,5.8,0.8,,盤後,0.2,25%
20,2022/08/01,TXO,202208W1,13800.0000,買權,-,-,-,-,0,1140,1,-,-,-,-,,一般,-,-
21,2022/08/01,TXO,202208W1,13800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
22,2022/08/01,TXO,202208W1,13800.0000,賣權,0.3,1,0.3,0.5,399,0.5,2179,0.5,0.8,8,0.3,,一般,-0.3,-37.5%
23,2022/08/01,TXO,202208W1,13800.0000,賣權,0.7,1.6,0.7,1,52,-,-,0.8,1.2,8,0.6,,盤後,0.2,25%
24,2022/08/01,TXO,202208W1,13900.0000,買權,-,-,-,-,0,1040,0,-,-,-,-,,一般,-,-
25,2022/08/01,TXO,202208W1,13900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
26,2022/08/01,TXO,202208W1,13900.0000,賣權,1,1.2,0.3,0.6,403,0.6,2060,0.5,0.9,11.5,0.3,,一般,-0.4,-40%
27,2022/08/01,TXO,202208W1,13900.0000,賣權,1.3,1.7,1,1.1,79,-,-,1.1,1.6,11.5,1,,盤後,0.1,10%
28,2022/08/01,TXO,202208W1,14000.0000,買權,-,-,-,-,0,940,2,-,-,-,-,,一般,-,-
29,2022/08/01,TXO,202208W1,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
30,2022/08/01,TXO,202208W1,14000.0000,賣權,0.8,1.6,0.8,1,486,1,3822,0.9,1.1,16.5,0.8,,一般,-0.7,-41.18%
31,2022/08/01,TXO,202208W1,14000.0000,賣權,1.4,2.1,1.4,1.5,257,-,-,1.5,2,16.5,1.2,,盤後,-0.2,-11.76%
32,2022/08/01,TXO,202208W1,14100.0000,買權,-,-,-,-,0,840,1,-,-,-,-,,一般,-,-
33,2022/08/01,TXO,202208W1,14100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
34,2022/08/01,TXO,202208W1,14100.0000,賣權,2,2,1.1,1.2,432,1.2,3776,1.1,1.5,25,1.1,,一般,-0.8,-40%
35,2022/08/01,TXO,202208W1,14100.0000,賣權,1.4,2.6,1.4,2.5,192,-,-,2,2.4,25,1.2,,盤後,0.5,25%
36,2022/08/01,TXO,202208W1,14200.0000,買權,-,-,-,-,0,740,1,-,-,-,-,,一般,-,-
37,2022/08/01,TXO,202208W1,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
38,2022/08/01,TXO,202208W1,14200.0000,賣權,1.5,3.3,1.3,1.5,1250,1.5,3084,1.5,1.9,35,1.3,,一般,-1.3,-46.43%
39,2022/08/01,TXO,202208W1,14200.0000,賣權,2.7,3.7,2.1,2.1,422,-,-,2.1,3,35,2,,盤後,-0.7,-25%
40,2022/08/01,TXO,202208W1,14300.0000,買權,620,650,590,650,13,640,58,595,670,650,442,,一般,-50,-7.14%
41,2022/08/01,TXO,202208W1,14300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
42,2022/08/01,TXO,202208W1,14300.0000,賣權,2.8,4.1,2,2.2,1151,2.2,4698,2.1,2.5,49,2,,一般,-1.6,-42.11%
43,2022/08/01,TXO,202208W1,14300.0000,賣權,3.6,4.6,2.3,2.4,1162,-,-,2.5,3.5,49,2.3,,盤後,-1.4,-36.84%
44,2022/08/01,TXO,202208W1,14400.0000,買權,-,-,-,-,0,540,28,-,-,-,-,,一般,-,-
45,2022/08/01,TXO,202208W1,14400.0000,買權,585,585,585,585,1,-,-,468,-,610,365,,盤後,-20,-3.31%
46,2022/08/01,TXO,202208W1,14400.0000,賣權,4.4,6.8,2.8,3.8,2807,3.8,5852,3,4.1,70,2.8,,一般,-1.5,-28.3%
47,2022/08/01,TXO,202208W1,14400.0000,賣權,5.4,7,3.9,4.4,655,-,-,4.4,4.9,70,3.9,,盤後,-0.9,-16.98%
48,2022/08/01,TXO,202208W1,14450.0000,買權,493,493,493,493,1,493,25,399,560,555,330,,一般,-62,-11.17%
49,2022/08/01,TXO,202208W1,14450.0000,買權,525,525,525,525,1,-,-,419,-,555,330,,盤後,-30,-5.41%
50,2022/08/01,TXO,202208W1,14450.0000,賣權,5,8.7,3.2,4.9,1694,4.9,4018,4.2,5.5,81,3.2,,一般,-1.7,-25.76%
51,2022/08/01,TXO,202208W1,14450.0000,賣權,7.2,13.5,4.7,5.5,827,-,-,4.8,5.3,81,4.7,,盤後,-1.1,-16.67%
52,2022/08/01,TXO,202208W1,14500.0000,買權,458,481,396,453,57,444,55,351,510,565,274,,一般,-52,-10.3%
53,2022/08/01,TXO,202208W1,14500.0000,買權,505,520,443,505,19,-,-,370,-,565,274,,盤後,0,0.00%
54,2022/08/01,TXO,202208W1,14500.0000,賣權,7,12,4,6.4,4686,6.4,6679,6,6.4,95,4,,一般,-1.8,-21.95%
55,2022/08/01,TXO,202208W1,14500.0000,賣權,9.6,10.5,5.8,7,1219,-,-,6,7.7,95,5.8,,盤後,-1.2,-14.63%
56,2022/08/01,TXO,202208W1,14550.0000,買權,355,418,355,395,16,395,43,305,457,510,242,,一般,-63,-13.76%
57,2022/08/01,TXO,202208W1,14550.0000,買權,454,454,411,411,2,-,-,308,575,510,242,,盤後,-47,-10.26%
58,2022/08/01,TXO,202208W1,14550.0000,賣權,8.1,16,5.6,8.1,3942,8.1,5188,6.2,8.3,110,5.6,,一般,-2.4,-22.86%
59,2022/08/01,TXO,202208W1,14550.0000,賣權,10,14,7,8.5,1189,-,-,7.2,9.9,110,7,,盤後,-2,-19.05%
60,2022/08/01,TXO,202208W1,14600.0000,買權,372,400,297,345,242,345,295,256,375,453,202,,一般,-67,-16.26%
61,2022/08/01,TXO,202208W1,14600.0000,買權,410,445,370,445,50,-,-,405,-,453,202,,盤後,33,8.01%
62,2022/08/01,TXO,202208W1,14600.0000,賣權,11,21.5,7.3,11.5,7398,11.5,7388,11,11.5,127,7.3,,一般,-1.5,-11.54%
63,2022/08/01,TXO,202208W1,14600.0000,賣權,13.5,17.5,8.1,8.1,1872,-,-,8.1,8.2,127,8.1,,盤後,-4.9,-37.69%
64,2022/08/01,TXO,202208W1,14650.0000,買權,326,340,260,312,25,303,152,233,377,412,175,,一般,-51,-14.05%
65,2022/08/01,TXO,202208W1,14650.0000,買權,368,405,324,405,19,-,-,250,-,412,175,,盤後,42,11.57%
66,2022/08/01,TXO,202208W1,14650.0000,賣權,15.5,29.5,10,15.5,6289,15.5,6409,15,16,149,10,,一般,-2,-11.43%
67,2022/08/01,TXO,202208W1,14650.0000,賣權,18,24,11,13,2131,-,-,12,14.5,149,11,,盤後,-4.5,-25.71%
68,2022/08/01,TXO,202208W1,14700.0000,買權,288,308,209,245,595,259,275,215,261,367,150,,一般,-77,-23.91%
69,2022/08/01,TXO,202208W1,14700.0000,買權,322,349,268,342,204,-,-,280,364,367,150,,盤後,20,6.21%
70,2022/08/01,TXO,202208W1,14700.0000,賣權,20,38.5,13.5,21,9414,21,5879,20,21.5,168,13.5,,一般,-2,-8.7%
71,2022/08/01,TXO,202208W1,14700.0000,賣權,23,31,15,18,3169,-,-,17.5,19,168,15,,盤後,-5,-21.74%
72,2022/08/01,TXO,202208W1,14750.0000,買權,238,264,169,213,1449,213,484,195,211,325,124,,一般,-63,-22.83%
73,2022/08/01,TXO,202208W1,14750.0000,買權,267,300,230,300,163,-,-,250,330,325,124,,盤後,24,8.7%
74,2022/08/01,TXO,202208W1,14750.0000,賣權,26,51,18.5,28.5,8729,28.5,6001,28,29,192,15.5,,一般,-1.5,-5%
75,2022/08/01,TXO,202208W1,14750.0000,賣權,29,40,15.5,24,2372,-,-,24,25,192,15.5,,盤後,-6,-20%
76,2022/08/01,TXO,202208W1,14800.0000,買權,237,237,136,166,4001,171,1407,163,171,288,101,,一般,-71,-29.96%
77,2022/08/01,TXO,202208W1,14800.0000,買權,235,270,188,257,613,-,-,248,266,288,101,,盤後,20,8.44%
78,2022/08/01,TXO,202208W1,14800.0000,賣權,35,67,25.5,38.5,19578,38.5,6084,38,39,224,23,,一般,0,0.00%
79,2022/08/01,TXO,202208W1,14800.0000,賣權,38.5,52,23,28,6260,-,-,27,30,224,23,,盤後,-10.5,-27.27%
80,2022/08/01,TXO,202208W1,14850.0000,買權,175,180,104,128,2997,128,1977,126,130,256,83,,一般,-69,-35.03%
81,2022/08/01,TXO,202208W1,14850.0000,買權,190,227,153,201,944,-,-,203,217,256,83,,盤後,4,2.03%
82,2022/08/01,TXO,202208W1,14850.0000,賣權,46,87,34.5,51,13062,51,4357,51,53,255,31,,一般,1,2%
83,2022/08/01,TXO,202208W1,14850.0000,賣權,50,66,31,35.5,4925,-,-,36.5,38.5,255,31,,盤後,-14.5,-29%
84,2022/08/01,TXO,202208W1,14900.0000,買權,139,154,78,96,12149,96,4392,94,97,220,66,,一般,-65,-40.37%
85,2022/08/01,TXO,202208W1,14900.0000,買權,157,185,121,168,4866,-,-,168,169,220,66,,盤後,7,4.35%
86,2022/08/01,TXO,202208W1,14900.0000,賣權,60,112,47,69,19377,69,4912,68,69,288,38,,一般,4,6.15%
87,2022/08/01,TXO,202208W1,14900.0000,賣權,66,84,38,45,7972,-,-,43,45,288,38,,盤後,-20,-30.77%
88,2022/08/01,TXO,202208W1,14950.0000,買權,103,109,57,68,14138,68,3996,67,69,188,52,,一般,-60,-46.88%
89,2022/08/01,TXO,202208W1,14950.0000,買權,115,147,93,133,4253,-,-,131,134,188,52,,盤後,5,3.91%
90,2022/08/01,TXO,202208W1,14950.0000,賣權,78,139,63,92,13455,90,2658,90,93,289,50,,一般,11,13.58%
91,2022/08/01,TXO,202208W1,14950.0000,賣權,84,106,50,56,5186,-,-,55,59,289,50,,盤後,-25,-30.86%
92,2022/08/01,TXO,202208W1,15000.0000,買權,79,91,39.5,47,25295,47,8269,45.5,47,161,39.5,,一般,-53,-53%
93,2022/08/01,TXO,202208W1,15000.0000,買權,99,110,71,98,10304,-,-,97,98,161,40,,盤後,-2,-2%
94,2022/08/01,TXO,202208W1,15000.0000,賣權,100,172,83,120,13364,117,4074,117,120,353,61,,一般,16,15.38%
95,2022/08/01,TXO,202208W1,15000.0000,賣權,105,134,61,75,6636,-,-,73,75,353,61,,盤後,-29,-27.88%
96,2022/08/01,TXO,202208W1,15050.0000,買權,55,58,27.5,29.5,16272,29.5,5709,29,30,132,27.5,,一般,-45.5,-60.67%
97,2022/08/01,TXO,202208W1,15050.0000,買權,74,81,51,75,5867,-,-,73,75,132,30.5,,盤後,0,0.00%
98,2022/08/01,TXO,202208W1,15050.0000,賣權,129,210,110,155,3234,149,841,149,160,383,82,,一般,27,21.09%
99,2022/08/01,TXO,202208W1,15050.0000,賣權,129,164,82,103,1693,-,-,98,104,383,82,,盤後,-25,-19.53%
100,2022/08/01,TXO,202208W1,15100.0000,買權,40.5,42,16.5,17.5,18569,17.5,9600,17.5,18.5,112,16.5,,一般,-37.5,-68.18%
101,2022/08/01,TXO,202208W1,15100.0000,買權,56,58,37,54,9252,-,-,53,54,112,21.5,,盤後,-1,-1.82%
102,2022/08/01,TXO,202208W1,15100.0000,賣權,158,250,143,193,5430,190,774,190,194,408,112,,一般,35,22.15%
103,2022/08/01,TXO,202208W1,15100.0000,賣權,160,200,112,125,1069,-,-,122,130,408,112,,盤後,-33,-20.89%
104,2022/08/01,TXO,202208W1,15150.0000,買權,27.5,28,9.6,9.6,14438,9.6,9049,9.7,10.5,89,9.6,,一般,-29.9,-75.7%
105,2022/08/01,TXO,202208W1,15150.0000,買權,39,41.5,24.5,38,4760,-,-,36,38.5,89,16.5,,盤後,-1.5,-3.8%
106,2022/08/01,TXO,202208W1,15150.0000,賣權,205,288,179,236,1279,236,340,230,264,435,144,,一般,45,23.56%
107,2022/08/01,TXO,202208W1,15150.0000,賣權,197,235,144,144,684,-,-,150,219,435,144,,盤後,-47,-24.61%
108,2022/08/01,TXO,202208W1,15200.0000,買權,18,18,5.2,5.9,16966,5.9,12503,5.5,6.4,70,5.2,,一般,-21.1,-78.15%
109,2022/08/01,TXO,202208W1,15200.0000,買權,25.5,28,16.5,25.5,5205,-,-,24.5,25.5,70,12,,盤後,-1.5,-5.56%
110,2022/08/01,TXO,202208W1,15200.0000,賣權,239,325,219,262,292,268,264,246,315,530,185,,一般,32,13.91%
111,2022/08/01,TXO,202208W1,15200.0000,賣權,228,280,185,200,245,-,-,200,209,530,185,,盤後,-30,-13.04%
112,2022/08/01,TXO,202208W1,15250.0000,買權,11.5,13.5,3.1,3.1,8136,3.1,9489,3,3.1,55,3.1,,一般,-14.4,-82.29%
113,2022/08/01,TXO,202208W1,15250.0000,買權,18,18.5,10.5,16.5,3114,-,-,15.5,16,55,9,,盤後,-1,-5.71%
114,2022/08/01,TXO,202208W1,15250.0000,賣權,290,375,270,304,82,315,82,303,410,490,222,,一般,35,13.01%
115,2022/08/01,TXO,202208W1,15250.0000,賣權,268,324,222,222,44,-,-,222,256,490,222,,盤後,-47,-17.47%
116,2022/08/01,TXO,202208W1,15300.0000,買權,7.5,7.5,2.2,2.2,7379,2.2,10619,2.1,2.4,41.5,2.2,,一般,-8.8,-80%
117,2022/08/01,TXO,202208W1,15300.0000,買權,11.5,12.5,7.5,10,4376,-,-,9.3,10,41.5,6.4,,盤後,-1,-9.09%
118,2022/08/01,TXO,202208W1,15300.0000,賣權,353,423,330,366,40,364,82,291,389,474,275,,一般,51,16.19%
119,2022/08/01,TXO,202208W1,15300.0000,賣權,366,366,290,290,7,-,-,249,445,474,275,,盤後,-25,-7.94%
120,2022/08/01,TXO,202208W1,15350.0000,買權,4,4,1.4,1.5,2328,1.5,2943,1.2,1.5,25,1.4,,一般,-5.8,-79.45%
121,2022/08/01,TXO,202208W1,15350.0000,買權,7,8.4,5.1,6.9,352,-,-,5.5,6.9,25,4.7,,盤後,-0.4,-5.48%
122,2022/08/01,TXO,202208W1,15350.0000,賣權,445,445,395,400,8,413,13,339,499,485,320,,一般,38,10.5%
123,2022/08/01,TXO,202208W1,15350.0000,賣權,349,349,320,320,2,-,-,73,500,485,320,,盤後,-42,-11.6%
